"","utility_name","State","Data Year","Utility Number","Ownership","SAIDI_IEEE","SAIFI With MED...7","CAIDI With MED...8","SAIDI Without MED...9","SAIFI Without MED...10","CAIDI Without MED...11","SAIDI With MED Minus LOS","SAIFI With MED Minus LOS","CAIDI Minus MED","Number of Customers...15","Highest Dist. Voltage...16","Outages Recorded Automatically...17","Revenues","total_sale"
"196","Town of Mansfield - (MA)","MA","2020",11586,"public","8.6859999999999999","7.0999999999999994E-2","122.33803","4.5609999999999999","4.8000000000000001E-2","95.020832999999996","8.6859999999999999","7.0999999999999994E-2","122.33803","9950","15","N",25590,205578
"197","Town of North Attleborough - (MA)","MA","2020",13679,"public","78.266000000000005","0.78","100.34103","30.361000000000001","0.53400000000000003","56.855804999999997","78.266000000000005","0.78","100.34103","13499","13.8","N",31051,209666
"198","Town of Reading - (MA)","MA","2020",15748,"public","37.591000000000001","0.34599999999999997","108.64451","18.928999999999998","0.22500000000000001","84.128889000000001",".",".",".","30111","13.8","Y",84102,647886
"199","Tullahoma Board-Public Utils","TN","2020",19266,"public","73.811999999999998","1.2330000000000001","59.863746999999996","29.07","0.76400000000000001","38.049737999999998","73.811999999999998","1.2330000000000001","59.863746999999996","11215","12.5","N",24628,270720
"200","Turlock Irrigation District","CA","2020",19281,"public","75","0.66","113.63636","56","0.56999999999999995","98.245614000000003","75","0.66","113.63636","88748","12","N",300974,2163508
"201","Two Rivers Water & Light","WI","2020",19324,"public","138.447","1.2310000000000001","112.4671",".",".",".",".",".",".","6676","13.2","N",8723.3,82034
"202","Village of Fairport - (NY)","NY","2020",5930,"public","26.042999999999999","0.28699999999999998","90.742159999999998","17.690000000000001","0.25900000000000001","68.301158000000001",".",".",".","17666","12.5","N",23454.2,419515
"203","Village of Freeport - (NY)","NY","2020",6775,"public","59.673999999999999","0.70099999999999996","85.126960999999994","13.170999999999999","0.22500000000000001","58.537778000000003",".",".",".","14613","13.8","N",31193,248849
"204","Village of Waunakee - (WI)","WI","2020",20211,"public","20.8","0.11","189.09091000000001","20.8","0.11","189.09091000000001",".",".",".","6524","15","N",12787.9,121653
"205","Watertown Municipal Utilities","SD","2020",20187,"public","14.935","0.17","87.852941000000001","14.935","0.17","87.852941000000001",".",".",".","13272","12.5","N",30005,373266
"206","Waupun Utilities","WI","2020",20213,"public","5.468","7.0999999999999994E-2","77.014084999999994","5.468","7.0999999999999994E-2","77.014084999999994","5.468","7.0999999999999994E-2","77.014084999999994","4453","12.4","Y",9453.8,101121
"207","Weakley County Mun Elec Sys","TN","2020",20228,"public","161","2","80.5","161","2","80.5","161","2","80.5","20534","12","N",43320,435873
"208","Willmar Municipal Utilities","MN","2020",20737,"public","22.201000000000001","0.311","71.385852","22.201000000000001","0.311","71.385852","22.201000000000001","0.311","71.385852","9732","12.5","Y",26725,266976
